Date - Intl. format or prompt,Text,Link(s) - Separated by comma for FB carousels,Media URL(s) - Separated by comma,"Title - For the video, pin, PDF ..",Label(s) - Separated by comma,Alt text(s) - Separated by ||,Comment(s) - Separated by ||,"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,"Reminder - For stories, reels, shorts, and TikToks"
2026-09-18 19:30,"veep is the 3rd highest-rated show we've scored. 95.1. it beats seinfeld (94.5) and edges arrested development (95.0).

only 30 rock and fleabag are ahead of it.

#veep #selinameyer #julialouisdreyfus #jonahryan #sitcom",,,Veep — GOD BLESS AMERICA,Top Joke Series,,"Veep's technical #1 is a 9.54 from the S5 finale but it needs the whole season to land, so I picked the one that works cold. 2.89 jokes per minute and almost none of them are wasted. Reply with a Selina line.",,,,
2026-09-19 19:30,"futurama has the highest joke density of any show we've scored. 3.83 jokes per minute. higher than the simpsons, higher than 30 rock.

this is its #1 out of 8,900.

#futurama #roswellthatendswell #philipjfry #professorfarnsworth #cartoon",,,Futurama — ISN'T IT OBVIOUS? YOU ARE.,Top Joke Series,,"Futurama beats The Simpsons on jokes per minute (3.83 vs 3.46) but loses on overall score, 77.8 to 79.0. ""Technically correct, the best kind of correct"" is an 8.82. Reply with a line and I'll score it.",,,,
2026-09-20 19:30,"curb's three highest-scored jokes cannot be posted on this app. this is number four.

susie greene, 8.91, carrying a show she's barely in.

#curbyourenthusiasm #susiegreene #larrydavid #foisted #sitcom",,,"Curb Your Enthusiasm — FATWA?! NO, C**KSUCKER. FOISTED!",Top Joke Series,,"For the record: Curb also has the lowest joke density of anything we've scored, 1.43 per minute. It's a slow show that lands hard. Reply with an episode and I'll give you the number.",,,,
2026-09-21 19:30,"fleabag is 12 episodes long. it scores 95.8, second only to 30 rock across everything we've done.

the highest-scored line is the first line of the series and i cannot post it here.

#fleabag #phoebewallerbridge #hotpriest #andrewscott #tvtok",,,Fleabag — KNUCKLE BRUSH.,Top Joke Series,,"12 episodes, 813 jokes, and it out-scores Seinfeld's 13,316. Density and consistency beat volume every time in this rubric. Reply with a Fleabag moment and I'll score it.",,,,
2026-09-22 19:30,"chappelle's show ran for 27 episodes and scores 95.0 on our index. tied with arrested development. ahead of seinfeld.

this line is the highest-scored catchphrase we have ever recorded.

#chappellesshow #rickjames #davechappelle #charliemurphy #comedy",,,"Chappelle'S Show — I'M RICK JAMES, B***H.",Top Joke Series,,"The show's actual #1 is a 9.85 from Clayton Bigsby and there is no version of it I can post here. Three seasons, 1,564 jokes, top-five show overall. Reply with a sketch and I'll score it.",,,,
2026-09-23 19:30,"flight of the conchords made 22 episodes and scores 92.0 on our index. that's higher than parks & rec, the office and schitt's creek.

the #1 joke is a musical number about being dumped repeatedly.

#flightoftheconchords #jemaineclement #bretmckenzie #businesstime #comedy",,,Flight Of The Conchords — WHO ORGANIZED ALL OF MY EX-GIRLFRIENDS INTO A CHOIR?,Top Joke Series,,"""Business Time"" is a 9.27, fourth on the list. ""Bowie's in Space"" is 9.28. The songs dominate the top of this show's chart, which is not true of anything else we've scored. Reply with a song.",,,,
2026-09-24 19:30,"larry sanders ran from 1992 to 1998 and scores 86.8. it invented the format that 30 rock, curb and veep are all built on.

artie's best line scores a perfect 10 on quotability, which almost nothing in the show does.

#larrysandersshow #garryshandling #riptorn #hbo #comedy",,,"The Larry Sanders Show — HALF MAN, HALF DESK",Top Joke Series,,"If you've never seen it: this is the show that made the cringe-workplace format possible. 86.8, ahead of Curb (81.5), The Office (79.4) and Community (77.9). Start with S3. Reply if you want a specific episode scored.",,,,
2026-09-25 19:30,"broad city's #1 joke out of 3,737 is a callback that took three seasons to land.

the show scores 86.9. ahead of the office, curb and community.

#broadcity #abbijacobson #ilanaglazer #friendiversary #comedy",,,Broad City — I WAS THE HORSE.,Top Joke Series,,"Broad City's highest-scored episode is Along Came Molly (95.1). Season 4 is the peak season in the data, which surprised me. Reply with a moment and I'll give you the number.",,,,
2026-09-26 19:30,"taxi is from 1978 and scores 77.4, right between community and the fresh prince.

this scene is the second-highest joke in the show. it loses by 0.04.

#taxi #reverendjim #christopherlloyd #classicsitcom #tvtok",,,Taxi — WHAT DOES A YELLOW LIGHT MEAN?,Top Joke Series,,"The actual #1 is a 9.17 from ""Bobby's Acting Career"" in Season 1. I picked this one because you've actually seen it. Reply with a classic sitcom you want scored next.",,,,
2026-09-27 19:30,"fresh prince has 8,222 jokes. our AI scored all of them.

the #1 belongs to carlton. two words.

#freshprince #carltonbanks #alfonsoribeiro #willsmith #sitcom",,,The Fresh Prince — I'M BLACK?,Top Joke Series,,"Season 4 is the show's peak in the data. Carlton's series-wide average craft (6.84) beats Will's (6.69), though Will has more total jokes so he still leads on volume. Reply with a moment.",,,,
2026-09-28 19:30,"freaks and geeks got 18 episodes before nbc killed it. it scores 80.0, ahead of the office, sunny, the simpsons and community.

apatow, feig, franco, rogen, segel. all of them, in one cancelled show.

#freaksandgeeks #juddapatow #jamesfranco #sethrogen #tvtok",,,Freaks And Geeks — YOUR PARENTS ARE SWINGERS.,Top Joke Series,,"80.0 on 18 episodes. For reference The Office is 79.4 on 201. Best episode in the data is ""Dead Dogs and Gym Teachers"" at 84.8. Reply if you want a specific episode scored.",,,,
2026-09-29 19:30,"the highest-scored office joke beat this one by 0.01 points.

dwight has both of them.

#theoffice #dwightschrute #rainnwilson #perfectcrime #sitcom",,,The Office — I GO FOR THE CHANDELIER.,Top Joke Series,,"Dwight holds four of the top ten Office jokes. Michael holds three, and one of those is Young Michael in a home video. Meredith has two. Reply with a moment and I'll score it.",,,,
2026-09-30 19:30,"seinfeld's five highest-scored jokes are from seasons 2, 3, 4, 7 and 8. no season owns it.

that's rare. most shows cluster their best material in two years.

#seinfeld #magicloogie #keithhernandez #secondspitter #sitcom",,,Seinfeld — THAT IS ONE MAGIC LOOGIE.,Top Joke Series,,"The Contest's top joke is a 9.53, eighth overall. Season 9 is Seinfeld's highest-scoring season in the data, which nobody believes when I say it. Reply with an episode.",,,,
2026-10-01 19:30,"30 rock's second-highest joke is from its fourth episode ever.

most shows take two seasons to find themselves. this one took four episodes.

#30rock #tracyjordan #tracymorgan #sharkweek #sitcom",,,30 Rock — LIVE EVERY WEEK LIKE IT'S SHARK WEEK,Top Joke Series,,"Tracy has three of 30 Rock's top ten jokes. Jenna has two. Liz is in two of them and gets the setup in both, which is the straight-man tax in one stat. Reply with a line.",,,,
2026-10-02 19:30,"ron swanson has six of the eight highest-scored jokes in parks & rec.

leslie has one. tom has none.

#parksandrec #ronswanson #nickofferman #skimmilk #sitcom",,,Parks And Recreation — SKIM MILK IS WATER THAT'S LYING ABOUT BEING MILK,Top Joke Series,,"Leslie's top joke is ""Turns out the crotch blinder was inside you all along"" at 9.28. Ron dominating this hard was not a thumb on the scale, it's just what the rubric rewards. Reply with a moment.",,,,
2026-10-03 19:30,"""i've made a huge mistake"" is the most quoted line in arrested development.

it's sixth. the show is that deep.

#arresteddevelopment #michaelbluth #jasonbateman #gob #sitcom",,,Arrested Development — I'VE MADE A HUGE MISTAKE.,Top Joke Series,,"Ranks 1 through 5: the loose seal tag (9.88), ""I'm your father, Steve Holt"" (9.53), ""Illusion, Michael"" (9.49), ""Or candy"" (9.49), and one I can't post (9.46). Season 3 is the best season in the data. Reply with a line.",,,,
2026-10-04 19:30,"friends' best season in our data is season 10. the last one.

everyone remembers the show declining. the joke scores say the writing got tighter at the end.

#friends #rossgeller #chandlerbing #pileofcoats #sitcom",,,Friends — I WAS THE PILE OF COATS!,Top Joke Series,,"Season 10 has the highest average joke score of any Friends season. The episode-level low point is ""The One With Rachel's Date"" (56.0) from Season 8. Reply with an episode and I'll give you the number.",,,,
2026-10-05 19:30,"everyone thinks moira is the funniest character on schitt's creek. she has zero jokes in the top four.

alexis has two.

#schittscreek #moirarose #catherineohara #foldinthecheese #sitcom",,,Schitt'S Creek — WHAT DOES 'FOLD IN THE CHEESE' MEAN?,Top Joke Series,,"Alexis holds #2 (""Follow us on tweeters!"", 9.21) and #4. David holds #1 and shares #5. Moira's only top-five appearance is the one she shares. Season 2 is the peak season. Reply with a Moira-ism.",,,,
2026-10-06 19:30,"this is the most quotable line in it's always sunny. perfect 10 on quotability.

it's still only the 8th highest-scored joke. that's a deep show.

#iasip #charliekelly #charlieday #alwayssunny #sitcom",,,"It'S Always Sunny — I EAT STICKERS ALL THE TIME, DUDE!",Top Joke Series,,"Sunny's peak season in the data is Season 15, which is season 15 of 17. Almost no show does that. Reply with a moment and I'll score it.",,,,
2026-10-07 19:30,"three weeks ago i said the top simpsons joke wasn't steamed hams and you were all extremely normal about it.

here's steamed hams. 9.00. fourth.

season 6 is the peak season, not 7. sorry again.

#thesimpsons #steamedhams #skinner #chalmers #cartoon",,,The Simpsons — AURORA BOREALIS?,Top Joke Series,,"Season 6 averages 82.6, the peak. Season 9 is the last one above 79. The floor is seasons 22 and 25, both at 74.8. Thanks for arguing with me for a month. Reply with a season and I'll give you the number.",,,,
